network,crowd,image,true_label,0_cnn,1_cnn,2_cnn,3_cnn,4_cnn,5_cnn,6_cnn,7_cnn,8_cnn,9_cnn,predicted_label_cnn,confidence_cnn,0_rf,1_rf,2_rf,3_rf,4_rf,5_rf,6_rf,7_rf,8_rf,9_rf,predicted_label_rf,confidence_rf
1,1,11,0.0,0.9954855,0.00062016264,6.765511e-05,7.7050914e-05,3.1964933e-05,0.0012479465,0.0018992212,2.3763996e-05,0.000519492,2.714919e-05,0.0,0.9368297,0.945,0.02,0.0,0.0,0.005,0.015,0.015,0.0,0.0,0.0,0.0,0.945
1,1,12,0.0,0.99972266,3.651986e-05,3.992374e-05,2.0873616e-05,2.6444675e-06,5.5321627e-05,8.120216e-05,1.5343974e-06,3.865675e-05,6.6259923e-07,0.0,0.97012097,,,,,,,,,,,,
1,1,13,6.0,3.6621693e-06,2.837155e-05,3.992279e-06,3.089023e-08,8.3077293e-07,2.3747125e-06,0.9999598,2.993269e-08,7.36821e-07,2.5428176e-07,6.0,0.9878379,,,,,,,,,,,,
1,1,14,9.0,0.0025470094,0.0023546794,0.00034795687,0.00091942906,0.047460157,0.003155154,0.022582807,0.0053835795,0.003072812,0.91217643,9.0,0.6459842,,,,,,,,,,,,
1,1,15,1.0,0.0020965629,0.7736588,0.04584672,0.0075486656,0.007959179,0.010659485,0.0072569484,0.015361029,0.124957524,0.0046549826,1.0,0.8906212,,,,,,,,,,,,
1,1,16,3.0,0.033098843,0.02862863,0.031296704,0.025747975,0.012636506,0.06106814,0.78028244,0.005009629,0.012698909,0.009532212,6.0,0.75770825,,,,,,,,,,,,
1,1,17,6.0,2.8624108e-05,0.00030177156,3.4185407e-05,2.4283704e-06,0.0001158469,5.2774234e-05,0.9993453,7.681766e-06,8.449177e-05,2.6917463e-05,6.0,0.9329668,0.017857142857142856,0.008333333333333333,0.03333333333333333,0.013333333333333332,0.02,0.02,0.8071428571428573,0.01,0.04,0.03,6.0,0.8071428571428573
1,1,18,7.0,0.649731,0.010613717,0.00068316824,0.002274282,0.013197413,0.0077021588,0.0052282265,0.26383358,0.009368751,0.037367787,0.0,0.8441183,,,,,,,,,,,,
1,1,19,1.0,0.002183124,0.7279048,0.029389115,0.005103299,0.012635117,0.0102478955,0.0030811045,0.033968996,0.16937467,0.0061118817,1.0,0.8906427,,,,,,,,,,,,
1,1,20,0.0,0.746375,0.025411509,0.0022160553,0.0065787523,0.0012620575,0.07288249,0.08765039,0.001540692,0.052811652,0.003271349,0.0,0.82187593,,,,,,,,,,,,
1,1,21,9.0,0.005263099,0.0016554036,0.0003576378,0.012673471,0.008603376,0.025870185,0.0036403525,0.004461788,0.004122894,0.9333518,9.0,0.5619533,,,,,,,,,,,,
1,1,22,8.0,0.033320803,0.113900326,0.020939339,0.024116281,0.02122268,0.09160519,0.34971955,0.013356472,0.2704384,0.06138099,6.0,0.6518217,,,,,,,,,,,,
1,1,23,5.0,0.21398206,0.048671488,0.0042347796,0.13375264,0.0014168429,0.46732116,0.02122668,0.0014997589,0.100170396,0.0077241207,5.0,0.74237806,,,,,,,,,,,,
1,1,24,7.0,0.29336163,0.037087016,0.0078503555,0.0053039882,0.051568035,0.0114895245,0.009274012,0.5104941,0.026046997,0.04752437,7.0,0.8275541,,,,,,,,,,,,
1,1,25,6.0,0.00012054995,0.0002665064,4.2839223e-05,3.1691857e-06,4.1152125e-05,4.781015e-05,0.99941754,3.0764938e-06,4.293996e-05,1.4332404e-05,6.0,0.9540599,0.03619047619047619,0.010833333333333332,0.008333333333333333,0.04916666666666667,0.0,0.016666666666666666,0.8671428571428572,0.0016666666666666666,0.01,0.0,6.0,0.8671428571428572
1,1,26,9.0,0.006056217,0.0043305084,0.0024295738,0.0098129315,0.0434466,0.014622445,0.013960674,0.01652259,0.0061221123,0.88269633,9.0,0.53796095,,,,,,,,,,,,
1,1,27,8.0,0.083882965,0.044620752,0.002035054,0.005728193,0.0019368072,0.20173658,0.05963145,0.001998503,0.5959972,0.0024324688,8.0,0.7446791,,,,,,,,,,,,
1,1,28,8.0,0.018999828,0.19287838,0.047057893,0.016148953,0.05503316,0.02411529,0.03801594,0.05912585,0.5303298,0.01829476,8.0,0.7364764,0.007833333333333333,0.049928571428571426,0.01,0.05916666666666667,0.012,0.04411904761904762,0.026000000000000002,0.01738095238095238,0.7365714285714285,0.037000000000000005,8.0,0.7365714285714285
1,1,29,2.0,0.055403236,0.0076968675,0.28960684,0.00065016927,0.55399996,0.0026207978,0.034472696,0.027528476,0.021987887,0.0060330764,4.0,0.8571662,,,,,,,,,,,,
1,1,30,2.0,0.0026663165,0.0017869616,0.98051566,0.0003723868,0.0022140956,0.00078486005,0.009398822,0.0005397507,0.0015539689,0.00016726919,2.0,0.86610395,,,,,,,,,,,,
1,1,31,6.0,0.00018735902,0.0022672396,0.00018957721,3.610315e-05,0.00011200567,0.0004878328,0.99616575,1.4627054e-05,0.00045568397,8.3831444e-05,6.0,0.9214659,0.004523809523809524,0.005333333333333333,0.005833333333333333,0.043166666666666666,0.0,0.030833333333333334,0.8321428571428572,0.009000000000000001,0.06916666666666667,0.0,6.0,0.8321428571428572
1,1,32,0.0,0.94596875,0.004158872,0.0052773273,0.00022844673,0.00023171061,0.0030608673,0.039649412,0.00010977913,0.0012268797,8.797312e-05,0.0,0.9609368,0.8440000000000001,0.02571428571428571,0.014857142857142857,0.0,0.009000000000000001,0.029761904761904764,0.07,0.0,0.006666666666666666,0.0,0.0,0.8440000000000001
1,1,33,5.0,0.9727047,0.00043872377,2.4926354e-05,0.002520616,1.3894764e-05,0.022988172,8.380116e-05,6.0747036e-05,0.0010990455,6.538494e-05,0.0,0.8850893,,,,,,,,,,,,
1,1,34,9.0,0.025260884,0.0059691234,0.0011463052,0.022258686,0.017205466,0.07866914,0.024016654,0.005602133,0.009610361,0.81026125,9.0,0.6115067,,,,,,,,,,,,
1,1,35,7.0,0.013754402,0.02404878,0.008604878,0.005755742,0.048349656,0.00996524,0.00965194,0.27319723,0.03635604,0.5703161,9.0,0.6894011,0.005,0.027666666666666666,0.013333333333333332,0.028333333333333332,0.04116666666666667,0.013666666666666666,0.006666666666666666,0.6066666666666667,0.04499999999999999,0.21250000000000002,7.0,0.6066666666666667
1,1,36,1.0,0.7024303,0.062541805,0.0045859157,0.03037667,0.0050321133,0.06500227,0.014231665,0.016224798,0.086673446,0.012900934,0.0,0.7408575,,,,,,,,,,,,
1,1,37,4.0,0.0038282892,0.0009947342,0.0004962845,4.925577e-05,0.96165454,0.00022209046,0.007951192,0.011457731,0.0010988172,0.012247028,4.0,0.8548215,,,,,,,,,,,,
1,1,38,3.0,0.011029639,0.0027901535,0.0039457916,0.9365198,0.0001617835,0.042709816,0.00014412192,0.00026834387,0.0017410239,0.0006895093,3.0,0.8001329,0.0,0.052000000000000005,0.02033333333333333,0.8333333333333333,0.005,0.049833333333333334,0.012,0.009166666666666667,0.018333333333333333,0.0,3.0,0.8333333333333333
1,1,39,5.0,0.077021584,0.00831324,0.0008020263,0.07945351,0.002036487,0.69461244,0.018424382,0.005057423,0.015395969,0.098882936,5.0,0.6765158,0.03592857142857143,0.06508333333333334,0.0095,0.1803333333333333,0.058583333333333334,0.12280952380952381,0.012,0.14926190476190476,0.07816666666666668,0.2883333333333333,9.0,0.2883333333333333
1,1,40,3.0,0.0002026536,0.0009670317,0.99359965,0.0038878222,0.00013359734,0.00027887037,0.00027917727,7.723836e-05,0.0005617605,1.2267999e-05,2.0,0.9101672,,,,,,,,,,,,
1,1,41,1.0,0.018724516,0.36033362,0.119764686,0.08893343,0.07159149,0.02336611,0.03584821,0.18527266,0.039350044,0.056815367,1.0,0.7448071,,,,,,,,,,,,
1,1,42,0.0,0.99932206,2.8262217e-05,5.8503072e-05,1.7254975e-05,1.0792323e-05,0.00030697772,0.00015146521,3.6136862e-06,9.8187935e-05,2.8897762e-06,0.0,0.9520833,0.9575,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0085,0.004,0.0,0.9575
1,1,43,1.0,0.0024521598,0.8538239,0.015345315,0.018877575,0.01449058,0.00787229,0.0047615045,0.04237278,0.021450168,0.01855378,1.0,0.84299934,,,,,,,,,,,,
1,1,44,6.0,4.2740496e-05,0.00010831782,0.00016160717,1.9229833e-07,4.2328397e-06,8.708996e-06,0.99967074,2.3699938e-07,2.6194605e-06,5.621257e-07,6.0,0.9914967,,,,,,,,,,,,
1,1,45,2.0,4.4252607e-05,0.000103440456,0.9986775,0.00028731293,0.00025543477,9.1004695e-05,0.000363532,0.00011625039,4.290248e-05,1.8414565e-05,2.0,0.88562703,,,,,,,,,,,,
1,1,46,6.0,2.6868681e-06,8.128129e-05,1.4086542e-05,2.7022213e-07,2.417724e-06,2.1588965e-05,0.9998675,2.289387e-07,8.730341e-06,1.1771697e-06,6.0,0.9695915,,,,,,,,,,,,
1,1,47,2.0,1.3241932e-07,9.227083e-07,0.9999979,9.161743e-08,3.6376866e-07,4.537864e-08,4.158041e-07,2.8893783e-08,9.5016034e-08,1.0144191e-09,2.0,0.9893672,0.01,0.01,0.9366666666666665,0.01583333333333333,0.0,0.010833333333333332,0.01,0.0,0.006666666666666666,0.0,2.0,0.9366666666666665
1,1,48,1.0,0.004210926,0.52567923,0.041028153,0.0074641095,0.05584872,0.008874749,0.0044523072,0.27393082,0.020565536,0.05794551,1.0,0.84605145,,,,,,,,,,,,
1,1,49,0.0,0.9996634,5.082333e-05,6.2683066e-06,3.981229e-05,2.2676884e-06,0.00012629318,3.8241502e-05,1.6839834e-06,6.9796275e-05,1.3373117e-06,0.0,0.9543166,,,,,,,,,,,,
1,1,50,4.0,0.09844235,0.013335759,0.017977592,0.050269596,0.25739056,0.05832071,0.040548656,0.04373579,0.028612796,0.39136618,9.0,0.6274285,,,,,,,,,,,,
1,1,51,5.0,0.300551,0.026251713,0.013875295,0.24005708,0.0013307022,0.31767288,0.0050409203,0.007817418,0.081812054,0.0055909953,5.0,0.7381741,,,,,,,,,,,,
1,1,52,3.0,0.29441273,0.0013850813,0.0025888027,0.57111627,0.00016780077,0.12339927,0.0004329512,0.0007497417,0.004919972,0.00082727947,3.0,0.7666398,,,,,,,,,,,,
1,1,53,0.0,0.9941242,0.0007686467,8.0416976e-05,0.00025858523,4.858035e-05,0.0018229734,0.0020740794,3.5131827e-05,0.00072981126,5.7623372e-05,0.0,0.91267484,0.945,0.0,0.0,0.0,0.0,0.04,0.015,0.0,0.0,0.0,0.0,0.945
1,1,54,4.0,0.020949403,0.037043292,0.017439367,0.019929351,0.14450945,0.027149452,0.07345201,0.038600348,0.03850235,0.582425,9.0,0.57402664,,,,,,,,,,,,
1,1,55,5.0,0.017559407,0.032353103,0.832804,0.0019519476,0.009914761,0.014190879,0.0523172,0.007831278,0.029502815,0.0015746759,2.0,0.8571691,,,,,,,,,,,,
1,1,56,1.0,0.017032735,0.55806834,0.07102511,0.047239635,0.03540918,0.029950827,0.05584884,0.08282107,0.06371208,0.038892116,1.0,0.7489415,,,,,,,,,,,,
1,1,57,8.0,0.014124114,0.025463924,0.015749361,0.002358629,0.009287102,0.032623142,0.031181965,0.003723332,0.8644726,0.0010158115,8.0,0.7548645,0.010833333333333332,0.028999999999999998,0.02,0.0375,0.0,0.07111904761904761,0.0,0.005833333333333333,0.8257142857142858,0.0,8.0,0.8257142857142858
1,1,58,9.0,0.05546842,0.042660072,0.0027658485,0.008230093,0.2151386,0.016903242,0.17466784,0.07668263,0.06650658,0.3409767,9.0,0.6959926,,,,,,,,,,,,
1,1,59,0.0,0.9801086,0.0023353156,0.00036607825,0.0066477694,0.00023020127,0.004977671,0.0010677296,0.00022158577,0.0038829541,0.00016212113,0.0,0.8520077,,,,,,,,,,,,
1,1,60,1.0,0.01417627,0.5203828,0.060049266,0.05188074,0.056569956,0.017807752,0.03765707,0.14827497,0.042843655,0.050357502,1.0,0.75889236,,,,,,,,,,,,
1,1,61,6.0,3.9326783e-06,7.715942e-05,3.8451494e-06,1.554744e-07,3.9612896e-06,4.391388e-06,0.999901,1.6676452e-07,3.998746e-06,1.4452265e-06,6.0,0.97405124,,,,,,,,,,,,
1,1,62,4.0,0.04281369,0.016026696,0.0026750902,0.03855188,0.12928669,0.10831844,0.10889498,0.018438838,0.024187699,0.510806,9.0,0.60661745,,,,,,,,,,,,
1,1,63,7.0,0.26727998,0.0037369875,7.730761e-05,0.0008411424,0.006573138,0.006718069,0.00075980194,0.67336786,0.0029680734,0.037677664,7.0,0.9045681,,,,,,,,,,,,
1,1,64,7.0,0.006765284,0.0009008353,0.00012120915,0.000103263694,0.009583736,0.00046593795,0.00010806769,0.8775041,0.00049831637,0.10394926,7.0,0.8382705,,,,,,,,,,,,
1,1,65,1.0,0.006327747,0.0762533,0.01393103,0.0026955479,0.0030946948,0.013721043,0.85670817,0.0024748659,0.021215228,0.003578356,6.0,0.85321397,0.04702380952380952,0.2833333333333333,0.13333333333333333,0.03883333333333333,0.0,0.13366666666666668,0.23764285714285713,0.008666666666666666,0.1125,0.005,1.0,0.2833333333333333
1,1,66,3.0,0.119845666,0.038878646,0.16397686,0.3452286,0.0051472364,0.2351459,0.0043575307,0.013070666,0.06952344,0.0048253974,3.0,0.7412871,,,,,,,,,,,,
1,1,67,6.0,0.10182078,0.034060456,0.092105,0.0015949629,0.045538146,0.007996163,0.6889431,0.004133356,0.020614281,0.0031938215,6.0,0.90028286,,,,,,,,,,,,
1,1,68,6.0,6.0337975e-06,4.9402362e-05,3.5617197e-06,7.104663e-08,2.2695554e-06,7.757529e-06,0.99992657,1.3787006e-07,3.2183693e-06,9.092537e-07,6.0,0.9800802,,,,,,,,,,,,
1,1,69,9.0,0.051071346,0.039434843,0.038538605,0.008787345,0.3884094,0.011562057,0.16622509,0.0815875,0.028864175,0.18551958,4.0,0.726007,,,,,,,,,,,,
1,1,70,2.0,1.6181973e-05,2.794476e-05,0.9998073,4.0390634e-05,5.772074e-05,9.72797e-06,2.4703617e-05,4.61975e-06,1.0285654e-05,1.0933746e-06,2.0,0.93458074,0.0,0.0,0.9916666666666666,0.0,0.0,0.003333333333333333,0.005,0.0,0.0,0.0,2.0,0.9916666666666666
1,1,71,7.0,0.08930058,0.0018325889,7.700939e-05,0.00019971811,0.00543015,0.0012240664,0.00023871957,0.8587028,0.0010065365,0.041987818,7.0,0.9036855,,,,,,,,,,,,
1,1,72,0.0,0.99978846,3.2885793e-05,4.0369873e-06,1.3927434e-05,1.0265609e-06,7.3781805e-05,5.178256e-05,4.5172655e-07,3.3237662e-05,3.6318127e-07,0.0,0.9675574,0.9033333333333333,0.0,0.006666666666666666,0.0,0.005,0.04999999999999999,0.02,0.008333333333333333,0.006666666666666666,0.0,0.0,0.9033333333333333
1,1,73,1.0,0.0022254582,0.80001783,0.01704356,0.014940491,0.017442385,0.008645238,0.0032993047,0.09477248,0.015849723,0.0257636,1.0,0.84740204,,,,,,,,,,,,
1,1,74,8.0,0.02507608,0.011739444,0.77895206,0.07527293,0.02539259,0.04172558,0.014061695,0.0061533176,0.016000707,0.0056254924,2.0,0.7186117,,,,,,,,,,,,
1,1,75,9.0,0.0040495447,0.0010571737,0.00034335558,0.004530106,0.006820614,0.013545913,0.0019154234,0.005075395,0.0023926797,0.9602698,9.0,0.5550239,,,,,,,,,,,,
1,1,76,2.0,0.00013961612,5.3468182e-05,0.9988217,9.745366e-05,0.0004834087,0.00010687564,4.5200315e-05,0.00014560536,7.513974e-05,3.1490814e-05,2.0,0.820323,,,,,,,,,,,,
1,1,77,7.0,0.0006744137,0.0014926494,0.00034724965,5.870644e-05,0.008339078,7.265901e-05,2.6690133e-05,0.9547925,0.0003567618,0.033839338,7.0,0.8450755,,,,,,,,,,,,
1,1,78,3.0,0.0018644246,0.0016169786,0.025835104,0.9466625,0.00046391928,0.020625336,0.00017280378,0.00060586183,0.0011459459,0.0010071412,3.0,0.7512583,,,,,,,,,,,,
1,1,79,9.0,0.083621345,0.093526,0.006788822,0.02834602,0.041384693,0.09978246,0.053996816,0.10937244,0.19537212,0.2878093,9.0,0.6510269,0.01,0.036642857142857144,0.0016666666666666666,0.026833333333333334,0.015333333333333332,0.02295238095238095,0.018666666666666668,0.10219047619047618,0.09400000000000003,0.6717142857142856,9.0,0.6717142857142856
1,1,80,7.0,0.037488732,0.042492528,0.04278145,0.00848158,0.091951154,0.011945807,0.043879963,0.5034725,0.051708456,0.16579787,7.0,0.7345029,,,,,,,,,,,,
1,1,81,4.0,0.0112977885,0.010050393,0.004998423,0.002101611,0.74815047,0.003045417,0.018977614,0.07132454,0.015739787,0.114313975,4.0,0.7309166,,,,,,,,,,,,
1,1,82,6.0,0.00022058308,0.00096246885,0.0006253835,3.0069166e-05,0.00011008991,0.00070990867,0.9967964,1.944536e-05,0.0004814036,4.415265e-05,6.0,0.92486197,0.05952380952380953,0.021333333333333333,0.0825,0.049166666666666664,0.0,0.0495,0.6954761904761905,0.0,0.0425,0.0,6.0,0.6954761904761905
1,1,83,9.0,0.0056048324,0.0040079285,0.0005656837,0.005364155,0.015680779,0.017906202,0.0069540525,0.008250327,0.005276028,0.93038994,9.0,0.5907946,,,,,,,,,,,,
1,1,84,1.0,0.0030159408,0.83494365,0.010056318,0.0041543534,0.0077520316,0.0070194067,0.030842671,0.010092496,0.08501069,0.0071123866,1.0,0.88032186,,,,,,,,,,,,
1,1,85,2.0,0.00043058902,0.0005811944,0.9979028,7.5653035e-05,0.0005089234,6.110788e-05,0.00020395996,2.5000065e-05,0.00020338579,7.323891e-06,2.0,0.93539965,,,,,,,,,,,,
1,1,86,0.0,0.98306555,0.0007631742,2.8405704e-05,0.00535244,2.1753529e-05,0.008730624,0.00044158354,3.81984e-05,0.0015007582,5.7437275e-05,0.0,0.8719882,,,,,,,,,,,,
1,1,87,6.0,0.00026820184,0.0019905204,0.00017400099,4.8301987e-05,0.0001374828,0.0011663461,0.995392,2.8113043e-05,0.00062825583,0.00016673279,6.0,0.8969713,0.004523809523809524,0.018833333333333334,0.0325,0.04166666666666666,0.03,0.08783333333333333,0.6904761904761905,0.005,0.08916666666666667,0.0,6.0,0.6904761904761905
1,1,88,6.0,0.0017038455,0.011106692,0.5503588,0.00044541428,0.014390099,0.001212949,0.4177027,0.0008566457,0.0016407687,0.0005821057,2.0,0.9362068,0.10583333333333333,0.06988095238095238,0.3786904761904762,0.015,0.02,0.028095238095238093,0.3491666666666666,0.0025,0.018333333333333333,0.0125,2.0,0.3786904761904762
1,1,89,7.0,0.035635192,0.0031400733,0.00033773857,0.0005202634,0.015240253,0.00141236,0.00035141516,0.90327805,0.0015648729,0.038519863,7.0,0.8533393,,,,,,,,,,,,
1,1,90,7.0,0.006779454,0.023962608,0.027306182,0.008642307,0.035521336,0.00495648,0.0012341631,0.704587,0.006554524,0.18045592,7.0,0.7313112,,,,,,,,,,,,
1,1,91,0.0,0.99978566,3.4661265e-05,2.2689674e-05,5.792606e-06,1.4563137e-06,3.5165936e-05,8.11423e-05,1.0500731e-06,3.2012787e-05,3.319605e-07,0.0,0.9774571,0.9625,0.0,0.0,0.0,0.0075,0.01,0.01,0.01,0.0,0.0,0.0,0.9625
1,1,92,7.0,0.34361172,0.014993453,0.0031556438,0.002761083,0.028595738,0.0044131847,0.005065276,0.52859193,0.009664701,0.05914725,7.0,0.82016724,,,,,,,,,,,,
1,1,93,8.0,0.12682775,0.04720751,0.31015942,0.11392945,0.059332073,0.07423537,0.046568353,0.071999125,0.1299298,0.019811254,2.0,0.7000085,,,,,,,,,,,,
1,1,94,4.0,0.023052333,0.018732214,0.00881397,0.0033688375,0.53071815,0.10589772,0.04284628,0.049455564,0.1740061,0.043108772,4.0,0.644536,,,,,,,,,,,,
1,1,95,4.0,0.0038201497,0.0032200855,0.0026281583,0.0013208006,0.3372635,0.0011085176,0.0034943398,0.23332113,0.001729226,0.41209412,9.0,0.69281185,,,,,,,,,,,,
1,1,96,1.0,0.002095791,0.7207372,0.02812103,0.005489458,0.007582209,0.011594109,0.0029674026,0.01672503,0.20139253,0.0032951396,1.0,0.89305484,,,,,,,,,,,,
1,1,97,1.0,0.002022677,0.41502485,0.019630836,0.005215693,0.053174503,0.0062816115,0.001794608,0.41296902,0.014891351,0.068994865,1.0,0.85035187,,,,,,,,,,,,
1,1,98,4.0,0.024670532,0.041732486,0.043879576,0.026518289,0.38445514,0.020932825,0.042123646,0.25596222,0.024879022,0.13484626,4.0,0.6462971,,,,,,,,,,,,
1,1,99,4.0,0.03891108,0.02354581,0.06605257,0.5139871,0.094456494,0.09270465,0.01132456,0.03939547,0.022333372,0.09728888,3.0,0.60666966,0.026666666666666665,0.08658333333333335,0.024499999999999997,0.07833333333333332,0.5252500000000001,0.0225,0.005,0.12475,0.025750000000000002,0.08066666666666666,4.0,0.5252500000000001
1,1,100,6.0,6.4676033e-06,0.00010614079,4.009659e-06,3.2733186e-07,1.5963934e-06,5.525802e-05,0.9998037,2.2371002e-07,1.984797e-05,2.504454e-06,6.0,0.9636469,,,,,,,,,,,,
1,1,101,1.0,0.001919116,0.8292944,0.02165659,0.028080571,0.017036714,0.005831364,0.004659271,0.0585379,0.015622086,0.017362101,1.0,0.84426045,,,,,,,,,,,,
1,1,102,3.0,0.024653634,0.005327129,0.0028378728,0.70695335,0.0025458997,0.19541278,0.0023958113,0.0022271106,0.0067197084,0.050926603,3.0,0.66254854,0.014166666666666668,0.031166666666666662,0.016666666666666666,0.2608333333333333,0.042666666666666665,0.056666666666666664,0.002,0.15916666666666665,0.07166666666666666,0.345,9.0,0.345
1,1,103,4.0,0.11631091,0.03741503,0.00765201,0.043062642,0.1032422,0.16339825,0.35195988,0.023483215,0.060106274,0.09336957,6.0,0.6602113,,,,,,,,,,,,
1,1,104,0.0,0.71847534,0.0390068,0.0030525033,0.00815794,0.002028406,0.035990525,0.1180087,0.002195471,0.06988753,0.0031968101,0.0,0.8441241,,,,,,,,,,,,
1,1,105,7.0,0.0089638885,0.0038075356,0.0012558665,0.00028997147,0.02463431,0.0004102482,0.00021222257,0.9218145,0.001142514,0.037468936,7.0,0.8365794,0.0,0.02,0.013999999999999999,0.018,0.004,0.002,0.01,0.92,0.0,0.012,7.0,0.92
1,1,106,1.0,0.0042713666,0.77002144,0.030531084,0.012552664,0.021812458,0.0076996502,0.03514748,0.036336802,0.06358726,0.018039748,1.0,0.84432596,,,,,,,,,,,,
1,1,107,6.0,1.8526229e-05,0.00012532542,1.967843e-05,4.0922075e-07,1.0851643e-05,1.4220586e-05,0.9997854,6.4910853e-07,2.24787e-05,2.406342e-06,6.0,0.96981466,,,,,,,,,,,,
1,1,108,0.0,0.7783381,0.0023669074,0.15688168,0.0043195416,0.0024458198,0.039718393,0.008192267,0.0008686091,0.005875092,0.00099359,0.0,0.84380805,,,,,,,,,,,,
1,1,109,5.0,0.030814808,0.014882026,0.028678946,0.019905042,0.01508946,0.66558784,0.15151615,0.017480234,0.033259016,0.022786519,5.0,0.6333514,,,,,,,,,,,,
1,1,110,1.0,0.008474678,0.5256022,0.1993823,0.06569755,0.021994019,0.024402704,0.045243874,0.025563074,0.065755606,0.01788403,1.0,0.8185991,,,,,,,,,,,,
1,1,111,0.0,0.9932434,0.00022927421,0.00019747263,6.465617e-05,9.363307e-05,0.0028428498,0.0025122587,4.9686005e-05,0.000717954,4.8801445e-05,0.0,0.91719556,,,,,,,,,,,,
1,1,112,2.0,0.0017637438,0.0065147406,0.9734248,0.0040023555,0.004356906,0.0017921104,0.0045415103,0.0008382149,0.0023662609,0.00039933113,2.0,0.8710368,,,,,,,,,,,,
1,1,113,0.0,0.9843155,0.0028261528,0.00036345585,0.00083500583,0.0007782958,0.004579689,0.002906774,0.0003939528,0.0024216291,0.0005794766,0.0,0.8676163,,,,,,,,,,,,
1,1,114,5.0,0.8358559,0.010204834,0.0013406713,0.019541627,0.00089411443,0.0802008,0.036393777,0.0009536556,0.011927252,0.0026873967,0.0,0.80670077,,,,,,,,,,,,
1,1,115,8.0,0.108876646,0.099658936,0.09511998,0.14387271,0.028148783,0.13361016,0.22763921,0.0225511,0.09014275,0.05037978,6.0,0.65552944,0.010333333333333332,0.05978571428571429,0.048666666666666664,0.10423015873015873,0.04016666666666666,0.20892857142857144,0.024333333333333335,0.012055555555555555,0.47883333333333333,0.012666666666666666,8.0,0.47883333333333333
1,1,116,6.0,0.00027529328,0.0020050686,0.00078228326,2.748661e-05,0.00042396333,0.00022099026,0.9959647,3.8065853e-05,0.00013386522,0.00012839244,6.0,0.9293423,,,,,,,,,,,,
1,1,117,2.0,0.00044217214,0.0035554664,0.8345639,0.00092443434,0.0005394596,0.0018319027,0.15617564,9.852504e-05,0.0018030602,6.540221e-05,2.0,0.9297154,0.025,0.05733333333333334,0.7125,0.04833333333333334,0.015,0.031,0.07083333333333335,0.0,0.04,0.0,2.0,0.7125
